date,temp_max_c,temp_min_c,temp_mean_c,precipitation_mm,wind_dir,humidity_max,humidity_min,evapotranspiration,latitude,longitude,wind_speed_ms,is_dry_day,consecutive_dry_days,temp_anomaly,fire_danger_score
2023-07-29,22.2,16.2,19.6,0.0,251,77,47,3.73,64.815,-147.856,4.194444444444445,1,9,0.9913043478260875,0.5575909888158039
2023-07-30,22.8,14.0,18.3,0.0,243,94,44,2.64,64.815,-147.856,2.7777777777777777,1,10,1.5913043478260889,0.5298968404817426
2023-07-31,25.1,13.5,19.9,0.0,315,92,39,2.84,64.815,-147.856,1.5,1,11,3.8913043478260896,0.5360959750579665
2023-08-01,24.8,13.6,19.8,0.0,273,90,35,3.76,64.815,-147.856,2.75,1,12,3.591304347826089,0.6056370693212569
2023-08-02,25.2,11.9,19.5,0.0,290,80,28,3.86,64.815,-147.856,2.9166666666666665,1,13,3.9913043478260875,0.6502947673300752
2023-08-03,25.8,12.6,20.1,0.0,268,84,31,2.88,64.815,-147.856,2.5277777777777777,1,14,4.591304347826089,0.6454845968152502
2023-08-04,26.2,15.4,21.1,0.0,173,83,36,3.01,64.815,-147.856,1.972222222222222,1,15,4.9913043478260875,0.6254130131132537
2023-08-05,28.1,14.4,21.6,0.0,160,88,25,3.97,64.815,-147.856,3.7222222222222223,1,16,6.89130434782609,0.7647909785077722
2023-08-06,26.5,14.2,20.8,0.0,97,72,32,3.13,64.815,-147.856,2.972222222222222,1,17,5.291304347826088,0.7046687987291833
2023-08-07,23.0,14.4,18.9,3.7,257,91,44,2.8,64.815,-147.856,2.5555555555555554,0,0,1.7913043478260882,0.40604158168568855
2023-08-08,23.0,13.1,17.4,0.2,346,96,44,2.25,64.815,-147.856,2.388888888888889,1,1,1.7913043478260882,0.4111764533201639
2023-08-09,21.7,14.0,17.5,7.0,13,97,62,2.31,64.815,-147.856,2.3333333333333335,0,0,0.49130434782608745,0.3260965395473531
2023-08-10,21.1,12.9,16.3,5.4,320,100,65,1.71,64.815,-147.856,1.9166666666666667,0,0,-0.10869565217391042,0.2926272171063174
2023-08-11,23.3,11.8,16.9,1.6,75,100,49,2.61,64.815,-147.856,3.222222222222222,1,1,2.091304347826089,0.43327299294427135
2023-08-12,22.2,12.4,16.9,0.4,81,93,39,2.9,64.815,-147.856,4.583333333333333,1,2,0.9913043478260875,0.5147076609166764
2023-08-13,21.5,10.9,16.3,0.1,231,89,38,2.97,64.815,-147.856,3.6666666666666665,1,3,0.29130434782608816,0.4837977521550944
2023-08-14,20.5,11.4,15.8,0.3,219,99,45,2.72,64.815,-147.856,2.4722222222222223,1,4,-0.7086956521739118,0.41389075123926233
2023-08-15,19.8,9.9,15.0,1.2,229,100,50,2.22,64.815,-147.856,3.0277777777777777,1,5,-1.4086956521739111,0.4235443782728025
2023-08-16,21.1,11.4,14.7,9.9,293,96,47,2.13,64.815,-147.856,3.3888888888888884,0,0,-0.10869565217391042,0.4051907529014396
2023-08-17,15.0,10.6,12.6,0.5,249,100,53,1.9,64.815,-147.856,5.444444444444445,1,1,-6.208695652173912,0.4004602565558111
2023-08-18,13.2,10.8,12.0,0.9,223,83,64,1.25,64.815,-147.856,4.833333333333333,1,2,-8.008695652173913,0.33123135969847234
2023-08-19,17.6,10.4,12.9,0.8,233,90,44,2.03,64.815,-147.856,5.916666666666667,1,3,-3.6086956521739104,0.5039847249568398
2023-08-20,11.0,8.4,10.0,11.0,217,100,71,0.48,64.815,-147.856,4.583333333333333,0,0,-10.208695652173912,0.24780982817781505
2023-08-21,12.5,10.1,11.0,6.5,227,100,90,0.59,64.815,-147.856,4.25,0,0,-8.708695652173912,0.19728700179250724
2023-08-22,15.1,10.8,12.5,1.7,195,97,70,1.1,64.815,-147.856,3.555555555555556,1,1,-6.108695652173912,0.27563792463140285
2023-08-23,17.9,10.4,13.4,2.7,202,100,64,1.35,64.815,-147.856,2.055555555555556,0,0,-3.3086956521739133,0.25904681583435424
2023-08-24,19.4,8.5,13.7,6.6,88,100,64,1.25,64.815,-147.856,2.7222222222222223,0,0,-1.8086956521739133,0.3053029948947898
2023-08-25,16.7,11.2,13.5,15.2,124,100,70,1.02,64.815,-147.856,2.0833333333333335,0,0,-4.5086956521739125,0.2263623145305618
2023-08-26,19.6,12.4,15.7,0.4,107,86,64,1.63,64.815,-147.856,3.3055555555555554,1,1,-1.6086956521739104,0.3429036995597869
2023-08-27,18.6,12.1,15.1,5.1,208,86,63,1.38,64.815,-147.856,4.138888888888889,0,0,-2.6086956521739104,0.35413027015806947
2023-08-28,12.9,8.9,10.9,1.3,296,92,57,1.19,64.815,-147.856,3.5277777777777777,1,1,-8.308695652173911,0.28458558384955357
2023-08-29,22.8,8.9,15.3,0.6,18,100,54,2.11,64.815,-147.856,3.4722222222222223,1,2,1.5913043478260889,0.43340350281560414
2023-08-30,15.4,10.1,12.3,2.4,227,100,72,0.67,64.815,-147.856,3.888888888888889,0,0,-5.8086956521739115,0.2750802556572061
2023-08-31,16.7,7.1,11.8,1.0,112,100,53,1.64,64.815,-147.856,5.416666666666667,1,1,-4.5086956521739125,0.4217237052251391
